scenario,controller,seed,RT,RT_norm,Overshoot,RI,NDR,ControlEffort,PerfMean,PerfStd,StabilityPost,Retention,AdaptSpeed,MemStability
sudden_threat,no_control,1,100.0,1.0,0.4,1.40625,1.0,0.0,0.21743807133038776,0.281181210065469,0.038476186896325544,0.0,0.0,0.8058364879067575
sudden_threat,no_control,2,100.0,1.0,0.4,1.415625,1.0,0.0,0.21703409992863737,0.2805179656053292,0.03870981952822351,0.0,0.0,0.8101662934051539
sudden_threat,no_control,3,100.0,1.0,0.4,1.40625,1.0,0.0,0.2171145927357887,0.2808410816190158,0.038329716102692875,0.0,0.0,0.8051004108472164
sudden_threat,no_control,4,100.0,1.0,0.4,1.40625,1.0,0.0,0.2172684552034218,0.2808809064848601,0.038669650247151334,0.0,0.0,0.8041064568766932
sudden_threat,no_control,5,100.0,1.0,0.4,1.40625,1.0,0.0,0.21707322345912355,0.28059746121541873,0.03868174609989073,0.0,0.0,0.8104070619511112
sudden_threat,no_control,6,100.0,1.0,0.4,1.40625,1.0,0.0,0.21727435122262925,0.28103079831189043,0.038286504522818086,0.0,0.0,0.8053090520435352
sudden_threat,no_control,7,100.0,1.0,0.4,1.40625,1.0,0.0,0.21774429958793512,0.281662042124763,0.03859269802152927,0.0,0.0,0.8000664475711046
sudden_threat,no_control,8,100.0,1.0,0.4,1.40625,1.0,0.0,0.21784963467487573,0.2820804735913402,0.03826223356950926,0.0,0.0,0.799645509239938
sudden_threat,no_control,9,100.0,1.0,0.4,1.40625,1.0,0.0,0.21774207497865872,0.2816388003169068,0.03875235797567215,0.0,0.0,0.8023869375687132
sudden_threat,no_control,10,100.0,1.0,0.4,1.415625,1.0,0.0,0.21684212955386367,0.2803089869752715,0.03850215989888713,0.0,0.0,0.8108006268228138
sudden_threat,no_control,11,100.0,1.0,0.4,1.40625,1.0,0.0,0.2175201645242914,0.28109322583239826,0.03914109908776042,0.0,0.0,0.8057227112726031
sudden_threat,no_control,12,100.0,1.0,0.4,1.40625,1.0,0.0,0.2178472549265491,0.281884678005794,0.03849456254067449,0.0,0.0,0.8008121270298894
sudden_threat,no_control,13,100.0,1.0,0.4,1.40625,1.0,0.0,0.21751077439771266,0.2813351836803095,0.0386751425854131,0.0,0.0,0.8034662887006039
sudden_threat,no_control,14,100.0,1.0,0.4,1.40625,1.0,0.0,0.21750182768868914,0.2813953722832929,0.03834644869114184,0.0,0.0,0.8028956435909962
sudden_threat,no_control,15,100.0,1.0,0.4,1.415625,1.0,0.0,0.21648375846208445,0.2795042625095892,0.03873006529404874,0.0,0.0,0.8154021660812787
sudden_threat,no_control,16,100.0,1.0,0.4,1.40625,1.0,0.0,0.21769400750875642,0.28169305585872173,0.03859224741728421,0.0,0.0,0.8014291443303683
sudden_threat,no_control,17,100.0,1.0,0.4,1.40625,1.0,0.0,0.21694982041837602,0.2803621113953973,0.038584672692504776,0.0,0.0,0.8109112365361004
sudden_threat,no_control,18,100.0,1.0,0.4,1.40625,1.0,0.0,0.21743511452161504,0.28145335652302805,0.03788926718163523,0.0,0.0,0.8036037926053645
sudden_threat,no_control,19,100.0,1.0,0.4,1.40625,1.0,0.0,0.21759513699557628,0.28159138486003543,0.03848202644597742,0.0,0.0,0.8022185832267337
sudden_threat,no_control,20,100.0,1.0,0.4,1.40625,1.0,0.0,0.2171451696819559,0.2807293192029401,0.03852956813463553,0.0,0.0,0.8107013820108191
sudden_threat,naive_calm,1,100.0,1.0,0.14516972986026722,1.40625,1.0,0.26185677400232216,0.2518267076539452,0.31347229524072695,0.05661441823483685,0.0,0.0,0.7993323829392531
sudden_threat,naive_calm,2,100.0,1.0,0.1448787685769407,1.415625,1.0,0.26237312798954204,0.2514950868114886,0.3132129481658085,0.05664292614124409,0.0,0.0,0.8037748614948248
sudden_threat,naive_calm,3,100.0,1.0,0.14495537894834243,1.40625,1.0,0.26299229423346937,0.2516214791630902,0.3134427281115369,0.05625145227176429,0.0,0.0,0.7993256025647731
sudden_threat,naive_calm,4,100.0,1.0,0.14510272729939888,1.40625,1.0,0.26315027460231954,0.2518262037259114,0.31347303495165246,0.056924186678941176,0.0,0.0,0.7985595738693088
sudden_threat,naive_calm,5,100.0,1.0,0.1451615142048388,1.40625,1.0,0.2617697916353933,0.25165338892641326,0.3134338424577556,0.056531598948456815,0.0,0.0,0.8042176929724139
sudden_threat,naive_calm,6,100.0,1.0,0.1450642752868233,1.40625,1.0,0.2617803113579157,0.2517024724544451,0.3134737466619949,0.056366530738128154,0.0,0.0,0.7994665813959247
sudden_threat,naive_calm,7,100.0,1.0,0.14503630810860735,1.40625,1.0,0.26081418384529603,0.25207939922274036,0.3136276875782781,0.056973341173510605,0.0,0.0,0.7942500010395596
sudden_threat,naive_calm,8,100.0,1.0,0.14498556525733586,1.40625,1.0,0.2621182132398928,0.25189559615513024,0.31385140969317377,0.05626739953549876,0.0,0.0,0.793686762433352
sudden_threat,naive_calm,9,100.0,1.0,0.1448818270758504,1.40625,1.0,0.2606664893412404,0.25207750224480746,0.3138583748876508,0.0568421892981308,0.0,0.0,0.7962427664691045
sudden_threat,naive_calm,10,100.0,1.0,0.1452072348956881,1.415625,1.0,0.26252948137088017,0.2514829281772542,0.31334752690760886,0.056327333480602156,0.0,0.0,0.8045804958562592
sudden_threat,naive_calm,11,100.0,1.0,0.14522168466111918,1.40625,1.0,0.26180260958795476,0.251921791037628,0.31340810880954284,0.057396157788147134,0.0,0.0,0.7995593756810759
