arc_high_arousal_ratio,arc_k_mem_block,arc_max_arousal,arc_mean_arousal,arc_mean_risk,arc_mean_risk_memory,arc_mean_u_mem,arc_mean_uncertainty,arc_mean_valence,arc_min_u_mem,arc_shift_active_ratio,arc_shift_mem_gate_floor,calib_score,condition,env,final_reward_mean,final_reward_std,replay_last_shift_active,replay_last_u_mem,replay_n_added,replay_n_skipped,replay_recent_sample_calls,replay_recent_sample_ratio,replay_sample_calls,replay_skipped_ratio,replay_u_mem_threshold,seed,success_rate,timesteps
0.12996231254605103,1.0,0.5630299041573605,0.5207360936427259,0.0499553905022918,0.0499553905022918,0.9500446094977083,0.1204215546853076,0.9900915030434487,0.8748808084402233,0.04776119402985075,0.0,142.20684210526315,arc_plasticity,nonstationary,141.95,20.638495584707716,0.0,0.9573434827334614,20000.0,0.0,122.0,0.02568421052631579,4750.0,0.0,0.2,0,0.05,20000
0.12996231254605103,1.0,0.5630299041573605,0.5207360936427259,0.0499553905022918,0.0499553905022918,0.9500446094977083,0.1204215546853076,0.9900915030434487,0.8748808084402233,0.04776119402985075,0.0,137.00684210526316,arc_plasticity,nonstationary,136.75,14.869011399551754,0.0,0.9573434827334614,20000.0,0.0,122.0,0.02568421052631579,4750.0,0.0,0.5,0,0.025,20000
0.12996231254605103,1.0,0.5630299041573605,0.5207360936427259,0.0499553905022918,0.0499553905022918,0.9500446094977083,0.1204215546853076,0.9900915030434487,0.8748808084402233,0.04776119402985075,0.2,138.95684210526315,arc_plasticity,nonstationary,138.7,25.62440243205683,0.0,0.9573434827334614,20000.0,0.0,122.0,0.02568421052631579,4750.0,0.0,0.2,0,0.0,20000
0.12996231254605103,1.0,0.5630299041573605,0.5207360936427259,0.0499553905022918,0.0499553905022918,0.9500446094977083,0.1204215546853076,0.9900915030434487,0.8748808084402233,0.04776119402985075,0.2,139.30684210526317,arc_plasticity,nonstationary,139.05,19.2027992751057,0.0,0.9573434827334614,20000.0,0.0,122.0,0.02568421052631579,4750.0,0.0,0.5,0,0.05,20000
0.11793411738105186,3.0,0.5641489631586335,0.5210090947211053,0.050604377119270114,0.050604377119270114,0.8482779234510402,0.12209988054477594,0.9900925958998759,0.6154342262652743,0.047619047619047616,0.0,239.95796183225232,arc_plasticity,nonstationary,234.95,55.051316968806475,0.0,0.88,20000.0,0.0,186.0,0.039381748888418375,4723.0,0.0,0.2,0,0.8,20000
0.11390001738111154,3.0,0.5632759216288103,0.5210268906497207,0.050594936545528074,0.050594936545528074,0.8482822039206572,0.1222248627340497,0.9900521582997979,0.6144717179476569,0.04722222222222222,0.0,143.348831122631,arc_plasticity,nonstationary,138.25,9.390819985496474,1.0,0.4282460569686597,20000.0,0.0,217.0,0.04606240713224369,4711.0,0.0,0.5,0,0.0,20000
0.11979684409322006,3.0,0.5651914871841613,0.5223429247884908,0.05095319099589953,0.05095319099589953,0.8472719237002736,0.12283143631205881,0.9901922440956257,0.6051699890828454,0.04945054945054945,0.2,132.92471718001414,arc_plasticity,nonstationary,127.6,14.523773614319387,0.0,0.88,20000.0,0.0,214.0,0.04539669070852779,4714.0,0.0,0.2,0,0.0,20000
0.11465536969082321,3.0,0.5642407313083158,0.5215058035911315,0.05089480753896533,0.05089480753896533,0.8474305678076917,0.12278915633464521,0.9901553503943101,0.6101712671005142,0.049586776859504134,0.2,271.87403464901774,arc_plasticity,nonstationary,266.65,54.442882914114676,0.0,0.88,20000.0,0.0,225.0,0.04783163265306122,4704.0,0.0,0.5,0,0.95,20000
0.1230551227218872,5.0,0.5616848391572647,0.5179290981075599,0.04980517670588843,0.04980517670588843,0.7525359072138564,0.12008929175132552,0.9895610414102453,0.5121378777858772,0.047058823529411764,0.0,138.74559743844927,arc_plasticity,nonstationary,131.05,6.55343421421166,0.0,0.7999999999999999,20000.0,0.0,235.0,0.049904438309619874,4709.0,0.0,0.2,0,0.0,20000
0.11853663848137361,5.0,0.5644426429644576,0.5201672721707802,0.050235331288501786,0.050235331288501786,0.750808558335433,0.12126821074240711,0.9898806299499932,0.5070331118103558,0.04896282135418153,0.0,253.20395943878364,arc_plasticity,nonstationary,245.45,65.18548534758332,0.0,0.7999999999999999,20000.0,0.0,202.0,0.04297872340425532,4700.0,0.0,0.5,0,0.725,20000
