arc_high_arousal_ratio,arc_k_mem_block,arc_max_arousal,arc_mean_arousal,arc_mean_risk,arc_mean_risk_memory,arc_mean_u_mem,arc_mean_uncertainty,arc_mean_valence,arc_min_u_mem,arc_shift_active_ratio,arc_shift_mem_gate_floor,condition,env,final_reward_mean,final_reward_std,replay_last_shift_active,replay_last_u_mem,replay_n_added,replay_n_skipped,replay_recent_sample_calls,replay_recent_sample_ratio,replay_sample_calls,replay_skipped_ratio,replay_u_mem_threshold,seed,success_rate,timesteps
,,,,,,,,,,,,baseline,nonstationary,306.15,50.757536386235294,,,,,,,,,,0,1.0,50000
0.14391798729789268,3.0,0.6095428241339111,0.5532477742298978,0.051429619997435935,0.051429619997435935,0.8470753887389334,0.12341981000821337,0.9943106125879065,0.34530275504532804,0.04742204340542291,0.2,arc_plasticity,nonstationary,310.9,95.68275706730027,0.0,0.88,50000.0,0.0,536.0,0.0442098317387001,12124.0,0.0,0.5,0,0.95,50000
,,,,,,,,,,,,baseline,nonstationary,103.55,3.201171660501824,,,,,,,,,,1,0.0,50000
0.1437008315946598,3.0,0.6071428075882984,0.5520676843930847,0.051855031922307296,0.051855031922307296,0.8457198936855056,0.12446714348452684,0.9938461301325877,0.3526002347930053,0.04843937575030012,0.2,arc_plasticity,nonstationary,500.0,0.0,0.0,0.88,50000.0,0.0,476.0,0.039283651068746386,12117.0,0.0,0.5,1,1.0,50000
,,,,,,,,,,,,baseline,nonstationary,121.25,4.815340071064556,,,,,,,,,,2,0.0,50000
0.14318245080922246,3.0,0.6032045723584762,0.5477773529864808,0.05176740506322199,0.05176740506322199,0.8460043558588156,0.12430124994614683,0.9930049953555886,0.3900927167948836,0.04865054837536951,0.2,arc_plasticity,nonstationary,133.05,4.080134801694669,0.0,0.88,50000.0,0.0,552.0,0.045559590623968305,12116.0,0.0,0.5,2,0.0,50000
,,,,,,,,,,,,baseline,nonstationary,154.7,11.059385154700058,,,,,,,,,,3,0.0,50000
0.143220564539707,3.0,0.6099860719562983,0.5520263986360907,0.05078012712642892,0.05078012712642892,0.8487973503194799,0.12199410843357365,0.9943686777907494,0.35642089543619204,0.04885067617668867,0.2,arc_plasticity,nonstationary,124.25,3.462296925452813,0.0,0.88,50000.0,0.0,493.0,0.04064638469783164,12129.0,0.0,0.5,3,0.0,50000
,,,,,,,,,,,,baseline,nonstationary,381.7,62.357918502785196,,,,,,,,,,4,1.0,50000
0.13535747326427758,3.0,0.6028445407358501,0.5477182830321126,0.05045594225534586,0.05045594225534586,0.8495067756718142,0.12130546071128992,0.9940524375131153,0.3793288823471387,0.04712488093447636,0.2,arc_plasticity,nonstationary,174.35,15.320819168699824,0.0,0.88,50000.0,0.0,454.0,0.037415526619416516,12134.0,0.0,0.5,4,0.2,50000
