agent,env,episode,reward_mean,reward_std,success_rate,n_seeds
ql_baseline,GridWorld,73,0.9244999999999999,0.01395528573695284,1.0,20
ql_baseline,GridWorld,74,0.9239999999999998,0.010677078252031277,1.0,20
ql_baseline,GridWorld,75,0.9024999999999999,0.10653051206109919,1.0,20
ql_baseline,GridWorld,76,0.924,0.009695359714832619,1.0,20
ql_baseline,GridWorld,77,0.8985,0.11037549546887662,1.0,20
ql_baseline,GridWorld,78,0.922,0.015684387141358096,1.0,20
ql_baseline,GridWorld,79,0.8975,0.10587138423577923,1.0,20
ql_baseline,GridWorld,80,0.9235,0.012757350822173042,1.0,20
ql_baseline,GridWorld,81,0.9269999999999999,0.006403124237432813,1.0,20
ql_baseline,GridWorld,82,0.899,0.11475626344561762,1.0,20
ql_baseline,GridWorld,83,0.9024999999999999,0.10857601024167356,1.0,20
ql_baseline,GridWorld,84,0.9215,0.011947803145348485,1.0,20
ql_baseline,GridWorld,85,0.8789999999999999,0.14659126849850232,1.0,20
ql_baseline,GridWorld,86,0.9029999999999999,0.11090987332063815,1.0,20
ql_baseline,GridWorld,87,0.9260000000000002,0.0073484692283494945,1.0,20
ql_baseline,GridWorld,88,0.9219999999999999,0.011661903789690562,1.0,20
ql_baseline,GridWorld,89,0.9275,0.006224949798994334,1.0,20
ql_baseline,GridWorld,90,0.925,0.00806225774829851,1.0,20
ql_baseline,GridWorld,91,0.9269999999999999,0.007141428428542817,1.0,20
ql_baseline,GridWorld,92,0.9235000000000001,0.008529361054615946,1.0,20
ql_baseline,GridWorld,93,0.8985000000000001,0.10551184767598376,1.0,20
ql_baseline,GridWorld,94,0.923,0.01615549442140349,1.0,20
ql_baseline,GridWorld,95,0.9225,0.01577181029558748,1.0,20
ql_baseline,GridWorld,96,0.924,0.012806248474865667,1.0,20
ql_baseline,GridWorld,97,0.9254999999999999,0.0080467384697155,1.0,20
ql_baseline,GridWorld,98,0.9215,0.013143439428094882,1.0,20
ql_baseline,GridWorld,99,0.9,0.11045361017187261,1.0,20
ql_baseline,GridWorld,100,0.923,0.013076696830621988,1.0,20
ql_baseline,GridWorld,101,0.8965,0.10987606654772458,1.0,20
ql_baseline,GridWorld,102,0.9179999999999999,0.012489995996796765,1.0,20
ql_baseline,GridWorld,103,0.9264999999999999,0.009630680142129085,1.0,20
ql_baseline,GridWorld,104,0.921,0.01868154169226938,1.0,20
ql_baseline,GridWorld,105,0.9299999999999999,0.0,1.0,20
ql_baseline,GridWorld,106,0.9014999999999999,0.10622028996382943,1.0,20
ql_baseline,GridWorld,107,0.8739999999999999,0.14509996554100213,1.0,20
ql_baseline,GridWorld,108,0.9259999999999999,0.0073484692283494945,1.0,20
ql_baseline,GridWorld,109,0.8484999999999999,0.1830102456148289,1.0,20
ql_baseline,GridWorld,110,0.9239999999999998,0.01280624847486567,1.0,20
ql_baseline,GridWorld,111,0.899,0.1126454615153225,1.0,20
ql_baseline,GridWorld,112,0.9229999999999998,0.011874342087037883,1.0,20
ql_baseline,GridWorld,113,0.923,0.0141774468787578,1.0,20
ql_baseline,GridWorld,114,0.8474999999999999,0.23974726275809702,1.0,20
ql_baseline,GridWorld,115,0.9024999999999999,0.1062485294015875,1.0,20
ql_baseline,GridWorld,116,0.8975,0.10811452261375436,1.0,20
ql_baseline,GridWorld,117,0.9245000000000001,0.00864580823289525,1.0,20
ql_baseline,GridWorld,118,0.925,0.00921954445729285,1.0,20
ql_baseline,GridWorld,119,0.9249999999999998,0.008062257748298508,1.0,20
ql_baseline,GridWorld,120,0.9255000000000001,0.008645808232895257,1.0,20
ql_baseline,GridWorld,121,0.9274999999999999,0.008874119674649406,1.0,20
ql_baseline,GridWorld,122,0.9269999999999999,0.007810249675906626,1.0,20
ql_baseline,GridWorld,123,0.9029999999999999,0.11090987332063815,1.0,20
ql_baseline,GridWorld,124,0.925,0.010246950765959568,1.0,20
ql_baseline,GridWorld,125,0.9269999999999999,0.0055677643628299816,1.0,20
ql_baseline,GridWorld,126,0.8995,0.11482486664481699,1.0,20
ql_baseline,GridWorld,127,0.9299999999999999,0.0,1.0,20
ql_baseline,GridWorld,128,0.9015000000000001,0.10617320754314621,1.0,20
ql_baseline,GridWorld,129,0.9269999999999999,0.007141428428542817,1.0,20
ql_baseline,GridWorld,130,0.8710000000000001,0.15446358794227202,1.0,20
ql_baseline,GridWorld,131,0.9279999999999999,0.0059999999999999715,1.0,20
ql_baseline,GridWorld,132,0.9244999999999999,0.008046738469715499,1.0,20
ql_baseline,GridWorld,133,0.9189999999999999,0.01577973383805947,1.0,20
ql_baseline,GridWorld,134,0.9019999999999999,0.11075197515168748,1.0,20
