agent,blocked_updates,env,episode,epsilon,eval_reward,eval_success_rate,mean_arousal,reached_goal,seed,steps,total_reward,trap_hits
ql_baseline,,GridWorld,62,0.07292124703704618,,,,True,0,12,0.89,0
ql_baseline,,GridWorld,63,0.07255664080186094,,,,True,0,9,0.92,0
ql_baseline,,GridWorld,64,0.07219385759785164,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,65,0.07183288830986238,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,66,0.07147372386831308,,,,True,0,10,0.91,0
ql_baseline,,GridWorld,67,0.07111635524897152,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,68,0.07076077347272666,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,69,0.07040696960536302,,,,True,0,10,0.91,0
ql_baseline,,GridWorld,70,0.0700549347573362,0.9299999999999999,1.0,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,71,0.06970466008354953,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,72,0.06935613678313178,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,73,0.06900935609921612,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,74,0.06866430931872003,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,75,0.06832098777212643,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,76,0.0679793828332658,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,77,0.06763948591909946,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,78,0.06730128848950397,,,,True,0,10,0.91,0
ql_baseline,,GridWorld,79,0.06696478204705644,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,80,0.06662995813682115,0.9299999999999999,1.0,,True,0,12,0.89,0
ql_baseline,,GridWorld,81,0.06629680834613705,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,82,0.06596532430440637,,,,True,0,12,0.3999999999999999,1
ql_baseline,,GridWorld,83,0.06563549768288433,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,84,0.06530732019446991,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,85,0.06498078359349757,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,86,0.06465587967553008,,,,True,0,9,0.92,0
ql_baseline,,GridWorld,87,0.06433260027715243,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,88,0.06401093727576666,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,89,0.06369088258938783,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,90,0.0633724281764409,0.9299999999999999,1.0,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,91,0.06305556603555869,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,92,0.0627402882053809,,,,True,0,10,0.91,0
ql_baseline,,GridWorld,93,0.062426586764353996,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,94,0.062114453830532226,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,95,0.061803881561379566,,,,True,0,8,0.9299999999999999,0
ql_baseline,,GridWorld,96,0.061494862153572666,,,,True,0,8,0.9299999999999999,0
