agent,env,final_reward_mean,final_reward_std,final_success_rate,mean_arousal
ql_baseline,GridWorld,0.9177249999999998,0.07750047983722425,1.0,0.0
ql_arc,GridWorld,0.9114374999999998,0.08002223812010009,1.0,0.6698230071102106
ql_baseline,StochasticGridWorld,0.8693000000000001,0.15214880873671016,1.0,0.0
ql_arc,StochasticGridWorld,0.8595750000000001,0.16147699333031937,1.0,0.6644874902171619
ql_baseline,ChangingGoalGridWorld,-0.39661250000000053,0.9709756175330824,0.39875,0.0
ql_arc,ChangingGoalGridWorld,-0.015687500000000285,1.082350117727046,0.5975,0.6783695511068416
