agent,env,final_reward_mean,final_reward_std,final_success_rate,mean_arousal
ql_baseline,ChangingGoalGridWorld,-0.39661250000000053,0.9709756175330824,0.39875,0.0
arc_full,ChangingGoalGridWorld,-0.015687500000000285,1.082350117727046,0.5975,0.6783695511068416
arc_no_shift,ChangingGoalGridWorld,0.24051249999999982,1.0067875209515413,0.7175,0.6841382317640111
arc_no_gating,ChangingGoalGridWorld,0.13334999999999975,1.0384613750640899,0.65625,0.6852497646826089
